source,category,gender,age_unit,age,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,966,1,93.189800000000005,0.037530000000000001,82.697999999999993,86.194999999999993,89.691999999999993,93.19,96.686999999999998,100.185,103.682
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,967,1,93.212999999999994,0.037539999999999997,82.715000000000003,86.215000000000003,89.713999999999999,93.212999999999994,96.712000000000003,100.211,103.711
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,968,1,93.2363,0.03755,82.733000000000004,86.233999999999995,89.734999999999999,93.236000000000004,96.736999999999995,100.238,103.739
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,969,1,93.259500000000003,0.037560000000000003,82.751000000000005,86.254000000000005,89.757000000000005,93.26,96.762,100.265,103.768
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,970,1,93.282700000000006,0.037569999999999999,82.769000000000005,86.272999999999996,89.778000000000006,93.283000000000001,96.787000000000006,100.292,103.797
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,971,1,93.305899999999994,0.037580000000000002,82.787000000000006,86.293000000000006,89.799000000000007,93.305999999999997,96.811999999999998,100.319,103.825
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,972,1,93.328999999999994,0.037589999999999998,82.804000000000002,86.313000000000002,89.820999999999998,93.328999999999994,96.837000000000003,100.345,103.854
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,973,1,93.352199999999996,0.037600000000000001,82.822000000000003,86.331999999999994,89.841999999999999,93.352000000000004,96.861999999999995,100.372,103.88200000000001
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,974,1,93.375299999999996,0.037609999999999998,82.84,86.352000000000004,89.863,93.375,96.887,100.399,103.911
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,975,1,93.398399999999995,0.037620000000000001,82.856999999999999,86.370999999999995,89.885000000000005,93.397999999999996,96.912000000000006,100.426,103.93899999999999
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,976,1,93.421499999999995,0.037620000000000001,82.878,86.391999999999996,89.906999999999996,93.421999999999997,96.936000000000007,100.45099999999999,103.965
https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/length-height-for-age/expandable-tables/lhfa-boys-zscore-expanded-tables.xlsx,expanded,male,day,977,1,93.444599999999994,0.037629999999999997,82.896000000000001,86.412000000000006,89.927999999999997,93.444999999999993,96.960999999999999,100.477,103.994
